ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
815
ITEM: BOX BOUNDS ff ff ff
0.0000000000000000e+00 4.0000000000000000e+02
0.0000000000000000e+00 4.0000000000000000e+02
0.0000000000000000e+00 8.0000000000000000e+02
ITEM: ATOMS x y z type
188.303 91.4832 0 1
192.358 91.4499 0 1
196.419 91.4432 0 1
200.477 91.4415 0 1
204.535 91.4438 0 1
208.596 91.4514 0 1
212.652 91.4859 0 1
168.088 95.5611 0 1
172.108 95.4845 0 1
174.146 93.5534 0 1
176.195 95.4915 0 1
178.176 93.4779 0 1
180.232 95.4279 0 1
182.264 93.4314 0 1
184.271 95.423 0 1
186.28 93.4474 0 1
188.318 95.4078 0 1
190.346 93.4361 0 1
192.376 95.4006 0 1
194.393 93.4193 0 1
196.424 95.3901 0 1
198.449 93.4157 0 1
200.476 95.3881 0 1
202.504 93.416 0 1
204.529 95.3906 0 1
206.56 93.4203 0 1
208.577 95.4019 0 1
210.608 93.4379 0 1
212.635 95.4099 0 1
214.674 93.4503 0 1
216.683 95.4262 0 1
218.693 93.4362 0 1
220.714 95.4398 0 1
222.772 93.5049 0 1
224.793 95.473 0 1
228.821 95.4734 0 1
232.874 95.5787 0 1
155.948 99.6312 0 1
159.981 99.525 0 1
162.021 97.5872 0 1
164.068 99.5232 0 1
166.048 97.4974 0 1
168.091 99.4719 0 1
170.129 97.5048 0 1
172.15 99.4626 0 1
174.156 97.4547 0 1
176.193 99.4375 0 1
178.223 97.4337 0 1
180.24 99.4268 0 1
182.253 97.4105 0 1
184.278 99.4152 0 1
186.3 97.4112 0 1
188.328 99.4135 0 1
190.351 97.4035 0 1
192.379 99.4066 0 1
194.403 97.396 0 1
196.428 99.4009 0 1
198.451 97.3897 0 1
200.476 99.3981 0 1
202.501 97.39 0 1
204.523 99.4015 0 1
206.55 97.3969 0 1
208.573 99.4079 0 1
210.601 97.4051 0 1
212.623 99.4157 0 1
214.652 97.4138 0 1
216.673 99.4197 0 1
218.696 97.4176 0 1
220.719 99.4244 0 1
222.746 97.4227 0 1
224.763 99.4358 0 1
226.799 97.454 0 1
228.8 99.4615 0 1
230.813 97.5014 0 1
232.857 99.4731 0 1
234.913 97.5114 0 1
236.888 99.538 0 1
238.941 97.6093 0 1
240.966 99.5614 0 1
147.954 103.631 0 1
151.91 103.573 0 1
153.926 101.586 0 1
155.978 103.538 0 1
158.005 101.556 0 1
160.027 103.51 0 1
162.03 101.494 0 1
164.06 103.486 0 1
166.086 101.482 0 1
168.106 103.48 0 1
170.122 101.463 0 1
172.149 103.467 0 1
174.174 101.455 0 1
178.217 101.44 0 1
182.262 101.431 0 1
218.693 101.432 0 1
222.738 101.44 0 1
226.779 101.453 0 1
228.8 103.467 0 1
230.826 101.464 0 1
232.841 103.484 0 1
234.861 101.489 0 1
236.884 103.499 0 1
238.915 101.515 0 1
240.938 103.508 0 1
242.984 101.544 0 1
244.951 103.562 0 1
246.974 101.611 0 1
249.018 103.573 0 1
143.859 107.601 0 1
145.887 105.6 0 1
147.918 107.581 0 1
149.946 105.598 0 1
151.957 107.567 0 1
153.956 105.534 0 1
155.984 107.537 0 1
158.006 105.522 0 1
160.028 107.524 0 1
162.046 105.507 0 1
166.084 105.492 0 1
234.86 105.5 0 1
238.907 105.511 0 1
240.919 107.534 0 1
242.937 105.537 0 1
244.961 107.542 0 1
246.981 105.546 0 1
249.005 107.544 0 1
251.04 105.571 0 1
253.009 107.598 0 1
255.033 105.649 0 1
257.064 107.624 0 1
135.846 111.646 0 1
137.896 109.667 0 1
139.874 111.647 0 1
141.84 109.609 0 1
143.873 111.582 0 1
145.893 109.578 0 1
147.91 111.58 0 1
149.931 109.571 0 1
151.95 111.574 0 1
153.973 109.562 0 1
242.94 109.548 0 1
246.982 109.554 0 1
248.992 111.578 0 1
251.003 109.576 0 1
253.026 111.587 0 1
255.037 109.593 0 1
257.071 111.587 0 1
259.099 109.615 0 1
261.13 111.592 0 1
131.768 115.673 0 1
133.811 113.66 0 1
135.819 115.648 0 1
137.844 113.643 0 1
139.848 115.631 0 1
141.875 113.621 0 1
143.881 115.621 0 1
145.891 113.595 0 1
149.929 113.588 0 1
251.012 113.594 0 1
255.053 113.596 0 1
257.079 115.607 0 1
259.101 113.59 0 1
261.118 115.605 0 1
263.14 113.598 0 1
265.096 115.665 0 1
267.076 113.689 0 1
269.121 115.67 0 1
127.728 119.695 0 1
129.757 117.691 0 1
131.779 119.667 0 1
133.799 117.654 0 1
135.803 119.654 0 1
137.824 117.642 0 1
139.836 119.649 0 1
141.859 117.636 0 1
259.096 117.624 0 1
261.103 119.654 0 1
263.107 117.65 0 1
265.131 119.664 0 1
267.127 117.671 0 1
269.152 119.683 0 1
271.147 117.683 0 1
273.169 119.699 0 1
123.691 123.691 0 1
125.704 121.682 0 1
127.722 123.683 0 1
129.75 121.671 0 1
131.761 123.685 0 1
133.785 121.67 0 1
137.815 121.664 0 1
263.123 121.671 0 1
265.145 123.688 0 1
267.154 121.68 0 1
269.175 123.696 0 1
271.173 121.699 0 1
273.193 123.716 0 1
275.19 121.717 0 1
277.21 123.736 0 1
119.695 127.728 0 1
121.682 125.704 0 1
123.683 127.722 0 1
125.701 125.701 0 1
127.718 127.718 0 1
129.738 125.7 0 1
267.166 125.705 0 1
269.186 127.723 0 1
271.195 125.714 0 1
273.214 127.732 0 1
275.212 125.734 0 1
277.23 127.753 0 1
279.229 125.756 0 1
281.246 127.778 0 1
115.673 131.768 0 1
117.691 129.757 0 1
119.667 131.779 0 1
121.671 129.75 0 1
123.685 131.761 0 1
125.7 129.738 0 1
271.205 129.741 0 1
273.223 131.761 0 1
275.232 129.751 0 1
277.249 131.772 0 1
279.246 129.773 0 1
281.261 131.795 0 1
283.262 129.8 0 1
285.275 131.827 0 1
111.646 135.846 0 1
113.66 133.811 0 1
115.648 135.819 0 1
117.654 133.799 0 1
119.654 135.803 0 1
121.67 133.785 0 1
275.241 133.781 0 1
277.257 135.802 0 1
279.265 133.793 0 1
281.279 135.817 0 1
283.272 133.819 0 1
285.276 135.849 0 1
287.255 133.873 0 1
109.667 137.896 0 1
111.647 139.874 0 1
113.643 137.844 0 1
115.631 139.848 0 1
117.642 137.824 0 1
119.649 139.836 0 1
121.664 137.815 0 1
279.273 137.824 0 1
281.29 139.846 0 1
283.293 137.841 0 1
285.337 139.832 0 1
287.337 137.804 0 1
289.321 139.822 0 1
107.601 143.859 0 1
109.609 141.84 0 1
111.582 143.873 0 1
113.621 141.875 0 1
115.621 143.881 0 1
117.636 141.859 0 1
283.319 141.853 0 1
285.335 143.873 0 1
287.348 141.855 0 1
289.344 143.883 0 1
291.318 141.857 0 1
293.326 143.876 0 1
103.631 147.954 0 1
105.6 145.887 0 1
107.581 147.918 0 1
105.598 149.946 0 1
109.578 145.893 0 1
111.58 147.91 0 1
109.571 149.931 0 1
113.595 145.891 0 1
113.588 149.929 0 1
287.345 145.897 0 1
285.337 147.914 0 1
287.352 149.935 0 1
291.345 145.907 0 1
289.356 147.919 0 1
291.362 149.945 0 1
295.296 145.941 0 1
293.33 147.934 0 1
295.357 149.897 0 1
103.573 151.91 0 1
101.586 153.926 0 1
107.567 151.957 0 1
105.534 153.956 0 1
111.574 151.95 0 1
109.562 153.973 0 1
289.366 151.958 0 1
291.392 153.97 0 1
293.397 151.944 0 1
295.397 153.968 0 1
297.346 151.913 0 1
299.301 153.936 0 1
99.6312 155.948 0 1
103.538 155.978 0 1
101.556 158.005 0 1
107.537 155.984 0 1
105.522 158.006 0 1
291.403 158.01 0 1
293.408 155.992 0 1
295.421 158.013 0 1
297.384 155.999 0 1
299.424 157.98 0 1
99.525 159.981 0 1
97.5872 162.021 0 1
103.51 160.027 0 1
101.494 162.03 0 1
107.524 160.028 0 1
105.507 162.046 0 1
293.42 160.028 0 1
295.438 162.041 0 1
297.438 160.016 0 1
299.412 162.058 0 1
301.37 160.038 0 1
99.5232 164.068 0 1
97.4974 166.048 0 1
103.486 164.06 0 1
101.482 166.086 0 1
105.492 166.084 0 1
293.432 164.066 0 1
295.443 166.089 0 1
297.438 164.07 0 1
299.465 166.072 0 1
301.429 164.033 0 1
303.416 166.06 0 1
95.5611 168.088 0 1
99.4719 168.091 0 1
97.5048 170.129 0 1
103.48 168.106 0 1
101.463 170.122 0 1
295.46 170.128 0 1
297.465 168.101 0 1
299.476 170.122 0 1
301.455 168.09 0 1
303.446 170.086 0 1
95.4845 172.108 0 1
93.5534 174.146 0 1
99.4626 172.15 0 1
97.4547 174.156 0 1
103.467 172.149 0 1
101.455 174.174 0 1
297.476 172.148 0 1
299.494 174.163 0 1
301.492 172.13 0 1
303.474 174.152 0 1
305.42 172.105 0 1
95.4915 176.195 0 1
93.4779 178.176 0 1
99.4375 176.193 0 1
97.4337 178.223 0 1
101.44 178.217 0 1
297.489 176.191 0 1
299.502 178.212 0 1
301.503 176.184 0 1
303.497 178.2 0 1
305.471 176.159 0 1
307.401 178.197 0 1
95.4279 180.232 0 1
93.4314 182.264 0 1
99.4268 180.24 0 1
97.4105 182.253 0 1
101.431 182.262 0 1
299.514 182.265 0 1
301.512 180.235 0 1
303.51 182.265 0 1
305.457 180.241 0 1
307.468 182.224 0 1
95.423 184.271 0 1
93.4474 186.28 0 1
99.4152 184.278 0 1
97.4112 186.3 0 1
299.522 186.312 0 1
301.526 184.292 0 1
303.545 186.31 0 1
305.507 184.271 0 1
307.488 186.293 0 1
91.4832 188.303 0 1
95.4078 188.318 0 1
93.4361 190.346 0 1
99.4135 188.328 0 1
97.4035 190.351 0 1
299.527 190.352 0 1
301.539 188.33 0 1
303.545 190.353 0 1
305.532 188.338 0 1
307.524 190.375 0 1
91.4499 192.358 0 1
95.4006 192.376 0 1
93.4193 194.393 0 1
99.4066 192.379 0 1
97.396 194.403 0 1
301.536 192.373 0 1
303.535 194.4 0 1
305.528 192.377 0 1
307.501 194.39 0 1
91.4432 196.419 0 1
95.3901 196.424 0 1
93.4157 198.449 0 1
99.4009 196.428 0 1
97.3897 198.451 0 1
301.525 196.421 0 1
303.527 198.443 0 1
305.534 196.422 0 1
307.502 198.455 0 1
309.46 196.419 0 1
91.4415 200.477 0 1
95.3881 200.476 0 1
93.416 202.504 0 1
99.3981 200.476 0 1
97.39 202.501 0 1
301.525 200.474 0 1
303.529 202.498 0 1
305.517 200.465 0 1
307.48 202.473 0 1
309.482 200.479 0 1
91.4438 204.535 0 1
95.3906 204.529 0 1
93.4203 206.56 0 1
99.4015 204.523 0 1
97.3969 206.55 0 1
301.532 204.528 0 1
303.544 206.55 0 1
305.526 204.521 0 1
307.51 206.548 0 1
309.436 204.506 0 1
91.4514 208.596 0 1
95.4019 208.577 0 1
93.4379 210.608 0 1
99.4079 208.573 0 1
97.4051 210.601 0 1
299.528 210.596 0 1
301.541 208.575 0 1
303.547 210.597 0 1
305.528 208.574 0 1
307.502 210.601 0 1
91.4859 212.652 0 1
95.4099 212.635 0 1
93.4503 214.674 0 1
99.4157 212.623 0 1
97.4138 214.652 0 1
299.521 214.64 0 1
301.536 212.618 0 1
303.532 214.644 0 1
305.518 212.626 0 1
307.48 214.669 0 1
95.4262 216.683 0 1
93.4362 218.693 0 1
95.4398 220.714 0 1
99.4197 216.673 0 1
97.4176 218.696 0 1
99.4244 220.719 0 1
101.432 218.693 0 1
299.509 218.689 0 1
301.524 216.668 0 1
301.507 220.719 0 1
303.516 218.704 0 1
305.49 216.679 0 1
305.471 220.748 0 1
307.437 218.728 0 1
93.5049 222.772 0 1
95.473 224.793 0 1
97.4227 222.746 0 1
99.4358 224.763 0 1
101.44 222.738 0 1
297.483 224.756 0 1
299.494 222.734 0 1
301.486 224.755 0 1
303.491 222.753 0 1
305.476 224.771 0 1
95.4734 228.821 0 1
97.454 226.799 0 1
99.4615 228.8 0 1
101.453 226.779 0 1
103.467 228.8 0 1
297.469 228.799 0 1
299.486 226.782 0 1
301.479 228.81 0 1
303.45 226.765 0 1
305.377 228.822 0 1
95.5787 232.874 0 1
97.5014 230.813 0 1
99.4731 232.857 0 1
101.464 230.826 0 1
103.484 232.841 0 1
295.457 230.821 0 1
297.463 232.846 0 1
299.467 230.818 0 1
301.422 232.84 0 1
303.445 230.861 0 1
97.5114 234.913 0 1
99.538 236.888 0 1
101.489 234.861 0 1
103.499 236.884 0 1
105.5 234.86 0 1
293.427 236.881 0 1
295.443 234.861 0 1
297.439 236.881 0 1
299.453 234.879 0 1
301.423 236.926 0 1
303.36 234.886 0 1
97.6093 238.941 0 1
99.5614 240.966 0 1
101.515 238.915 0 1
103.508 240.938 0 1
105.511 238.907 0 1
107.534 240.919 0 1
293.416 240.926 0 1
295.429 238.903 0 1
297.414 240.932 0 1
299.394 238.903 0 1
301.32 240.959 0 1
101.544 242.984 0 1
103.562 244.951 0 1
105.537 242.937 0 1
107.542 244.961 0 1
109.548 242.94 0 1
289.378 244.958 0 1
291.392 242.937 0 1
293.39 244.955 0 1
295.42 242.956 0 1
297.383 245.003 0 1
299.367 242.984 0 1
101.611 246.974 0 1
103.573 249.018 0 1
105.546 246.981 0 1
107.544 249.005 0 1
109.554 246.982 0 1
111.578 248.992 0 1
289.37 248.999 0 1
291.384 246.978 0 1
293.378 248.998 0 1
295.364 246.969 0 1
297.315 248.993 0 1
105.571 251.04 0 1
107.598 253.009 0 1
109.576 251.003 0 1
111.587 253.026 0 1
113.594 251.012 0 1
285.332 253.032 0 1
287.346 251.01 0 1
289.345 253.02 0 1
291.379 251.021 0 1
293.35 253.057 0 1
295.35 251.035 0 1
105.649 255.033 0 1
107.624 257.064 0 1
109.593 255.037 0 1
111.587 257.071 0 1
113.596 255.053 0 1
115.607 257.079 0 1
283.317 255.053 0 1
285.326 257.068 0 1
287.338 255.046 0 1
289.33 257.054 0 1
291.319 255.025 0 1
293.282 257.02 0 1
109.615 259.099 0 1
111.592 261.13 0 1
113.59 259.101 0 1
115.605 261.118 0 1
117.624 259.096 0 1
119.654 261.103 0 1
281.305 261.118 0 1
283.317 259.094 0 1
285.329 261.11 0 1
287.326 259.078 0 1
289.3 261.102 0 1
291.31 259.085 0 1
113.598 263.14 0 1
115.665 265.096 0 1
117.65 263.107 0 1
119.664 265.131 0 1
121.671 263.123 0 1
123.688 265.145 0 1
277.255 265.14 0 1
279.287 263.134 0 1
281.305 265.155 0 1
283.323 263.138 0 1
285.321 265.168 0 1
287.301 263.137 0 1
113.689 267.076 0 1
115.67 269.121 0 1
117.671 267.127 0 1
119.683 269.152 0 1
121.68 267.154 0 1
123.696 269.175 0 1
125.705 267.166 0 1
127.723 269.186 0 1
273.218 269.18 0 1
275.236 267.159 0 1
277.243 269.166 0 1
279.259 267.144 0 1
281.244 269.132 0 1
283.312 267.177 0 1
117.683 271.147 0 1
119.699 273.169 0 1
121.699 271.173 0 1
123.716 273.193 0 1
125.714 271.195 0 1
127.732 273.214 0 1
129.741 271.205 0 1
131.761 273.223 0 1
269.18 273.218 0 1
271.199 271.199 0 1
273.208 273.208 0 1
275.226 271.188 0 1
277.222 273.186 0 1
279.236 271.163 0 1
281.235 273.158 0 1
283.218 271.114 0 1
121.717 275.19 0 1
123.736 277.21 0 1
125.734 275.212 0 1
127.753 277.23 0 1
129.751 275.232 0 1
131.772 277.249 0 1
133.781 275.241 0 1
135.802 277.257 0 1
265.14 277.255 0 1
267.159 275.236 0 1
269.166 277.243 0 1
271.188 275.226 0 1
273.186 277.222 0 1
275.205 275.205 0 1
277.203 277.203 0 1
279.221 275.182 0 1
125.756 279.229 0 1
127.778 281.246 0 1
129.773 279.246 0 1
131.795 281.261 0 1
129.8 283.262 0 1
133.793 279.265 0 1
135.817 281.279 0 1
133.819 283.272 0 1
137.824 279.273 0 1
139.846 281.29 0 1
137.841 283.293 0 1
141.853 283.319 0 1
255.053 283.317 0 1
261.118 281.305 0 1
259.094 283.317 0 1
263.134 279.287 0 1
265.155 281.305 0 1
263.138 283.323 0 1
267.144 279.259 0 1
269.132 281.244 0 1
267.177 283.312 0 1
271.163 279.236 0 1
273.158 281.235 0 1
271.114 283.218 0 1
275.182 279.221 0 1
131.827 285.275 0 1
135.849 285.276 0 1
133.873 287.255 0 1
139.832 285.337 0 1
137.804 287.337 0 1
143.873 285.335 0 1
141.855 287.348 0 1
147.914 285.337 0 1
145.897 287.345 0 1
149.935 287.352 0 1
253.032 285.332 0 1
251.01 287.346 0 1
257.068 285.326 0 1
255.046 287.338 0 1
261.11 285.329 0 1
259.078 287.326 0 1
265.168 285.321 0 1
263.137 287.301 0 1
139.822 289.321 0 1
143.883 289.344 0 1
141.857 291.318 0 1
145.907 291.345 0 1
147.919 289.356 0 1
149.945 291.362 0 1
151.958 289.366 0 1
153.97 291.392 0 1
158.01 291.403 0 1
244.958 289.378 0 1
242.937 291.392 0 1
248.999 289.37 0 1
246.978 291.384 0 1
253.02 289.345 0 1
251.021 291.379 0 1
257.054 289.33 0 1
255.025 291.319 0 1
261.102 289.3 0 1
259.085 291.31 0 1
143.876 293.326 0 1
145.941 295.296 0 1
147.934 293.33 0 1
149.897 295.357 0 1
151.944 293.397 0 1
153.968 295.397 0 1
155.992 293.408 0 1
158.013 295.421 0 1
160.028 293.42 0 1
162.041 295.438 0 1
164.066 293.432 0 1
166.089 295.443 0 1
170.128 295.46 0 1
230.821 295.457 0 1
236.881 293.427 0 1
234.861 295.443 0 1
240.926 293.416 0 1
238.903 295.429 0 1
244.955 293.39 0 1
242.956 295.42 0 1
248.998 293.378 0 1
246.969 295.364 0 1
253.057 293.35 0 1
251.035 295.35 0 1
257.02 293.282 0 1
151.913 297.346 0 1
153.936 299.301 0 1
155.999 297.384 0 1
157.98 299.424 0 1
160.016 297.438 0 1
162.058 299.412 0 1
164.07 297.438 0 1
166.072 299.465 0 1
168.101 297.465 0 1
170.122 299.476 0 1
172.148 297.476 0 1
174.163 299.494 0 1
176.191 297.489 0 1
178.212 299.502 0 1
182.265 299.514 0 1
186.312 299.522 0 1
190.352 299.527 0 1
210.596 299.528 0 1
214.64 299.521 0 1
218.689 299.509 0 1
224.756 297.483 0 1
222.734 299.494 0 1
228.799 297.469 0 1
226.782 299.486 0 1
232.846 297.463 0 1
230.818 299.467 0 1
236.881 297.439 0 1
234.879 299.453 0 1
240.932 297.414 0 1
238.903 299.394 0 1
245.003 297.383 0 1
242.984 299.367 0 1
248.993 297.315 0 1
160.038 301.37 0 1
164.033 301.429 0 1
166.06 303.416 0 1
168.09 301.455 0 1
170.086 303.446 0 1
172.13 301.492 0 1
174.152 303.474 0 1
176.184 301.503 0 1
178.2 303.497 0 1
180.235 301.512 0 1
182.265 303.51 0 1
184.292 301.526 0 1
186.31 303.545 0 1
188.33 301.539 0 1
190.353 303.545 0 1
192.373 301.536 0 1
194.4 303.535 0 1
196.421 301.525 0 1
198.443 303.527 0 1
200.474 301.525 0 1
202.498 303.529 0 1
204.528 301.532 0 1
206.55 303.544 0 1
208.575 301.541 0 1
210.597 303.547 0 1
212.618 301.536 0 1
214.644 303.532 0 1
216.668 301.524 0 1
220.719 301.507 0 1
218.704 303.516 0 1
224.755 301.486 0 1
222.753 303.491 0 1
228.81 301.479 0 1
226.765 303.45 0 1
232.84 301.422 0 1
230.861 303.445 0 1
236.926 301.423 0 1
234.886 303.36 0 1
240.959 301.32 0 1
172.105 305.42 0 1
176.159 305.471 0 1
178.197 307.401 0 1
180.241 305.457 0 1
182.224 307.468 0 1
184.271 305.507 0 1
186.293 307.488 0 1
188.338 305.532 0 1
190.375 307.524 0 1
192.377 305.528 0 1
194.39 307.501 0 1
196.422 305.534 0 1
198.455 307.502 0 1
200.465 305.517 0 1
202.473 307.48 0 1
204.521 305.526 0 1
206.548 307.51 0 1
208.574 305.528 0 1
210.601 307.502 0 1
212.626 305.518 0 1
214.669 307.48 0 1
216.679 305.49 0 1
220.748 305.471 0 1
218.728 307.437 0 1
224.771 305.476 0 1
228.822 305.377 0 1
196.419 309.46 0 1
200.479 309.482 0 1
204.506 309.436 0 1
