ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
110501
ITEM: BOX BOUNDS ff ff ff
0.0000000000000000e+00 4.0000000000000000e+02
0.0000000000000000e+00 4.0000000000000000e+02
0.0000000000000000e+00 8.0000000000000000e+02
ITEM: ATOMS x y z type
182.315 154.082 0 1
182.299 154.054 4.03708 1
184.323 154.063 2.02357 1
186.344 154.061 0 1
186.339 154.044 4.03553 1
188.368 152.058 0 1
190.377 152.036 2.02794 1
188.362 154.052 2.02397 1
190.386 154.055 0 1
188.358 152.023 4.03939 1
190.379 154.036 4.03534 1
192.4 152.041 0 1
194.423 152.034 2.02349 1
192.402 154.045 2.02213 1
194.425 154.045 0 1
192.394 152.021 4.03635 1
194.423 154.033 4.03336 1
196.445 152.033 0 1
198.47 152.028 2.02382 1
196.447 154.039 2.021 1
198.468 154.041 0 1
196.446 152.018 4.03602 1
198.469 154.029 4.03319 1
200.49 152.032 0 1
202.511 152.028 2.02385 1
200.49 154.037 2.0212 1
202.511 154.042 0 1
200.49 152.012 4.03608 1
202.511 154.029 4.03323 1
204.536 152.034 0 1
206.558 152.036 2.02356 1
204.532 154.041 2.02103 1
206.554 154.047 0 1
204.535 152.019 4.03613 1
206.556 154.035 4.03348 1
208.581 152.044 0 1
210.603 152.04 2.0281 1
208.576 154.048 2.0222 1
210.592 154.059 0 1
208.587 152.024 4.03661 1
210.599 154.041 4.03559 1
212.611 152.065 0 1
212.614 154.059 2.02418 1
214.63 154.072 0 1
212.622 152.03 4.03991 1
214.636 154.055 4.03559 1
216.653 154.077 2.02313 1
218.679 154.077 0 1
218.685 154.064 4.03748 1
174.258 158.14 0 1
174.238 158.116 4.03557 1
178.275 156.103 2.02271 1
176.263 158.119 2.02254 1
178.276 158.11 0 1
178.273 158.101 4.0329 1
180.296 156.094 0 1
182.31 156.082 2.02256 1
180.295 158.102 2.02029 1
182.315 158.098 0 1
180.289 156.079 4.03414 1
182.31 158.087 4.03174 1
184.332 156.081 0 1
186.347 156.069 2.02122 1
184.331 158.088 2.02032 1
186.351 158.086 0 1
184.324 156.064 4.03322 1
186.347 158.075 4.0311 1
188.366 156.067 0 1
190.385 156.06 2.02094 1
188.368 158.078 2.01971 1
190.388 158.076 0 1
188.363 156.055 4.03297 1
190.386 158.067 4.03058 1
192.407 156.06 0 1
194.426 156.054 2.02007 1
192.408 158.071 2.0193 1
194.428 158.071 0 1
192.404 156.049 4.03196 1
194.427 158.063 4.02988 1
196.448 156.055 0 1
198.468 156.051 2.01972 1
196.448 158.067 2.01891 1
198.468 158.068 0 1
196.447 156.045 4.03116 1
198.468 158.06 4.02953 1
200.489 156.053 0 1
202.51 156.051 2.01973 1
200.488 158.066 2.01877 1
202.508 158.069 0 1
200.489 156.044 4.03109 1
202.509 158.061 4.02956 1
204.53 156.056 0 1
206.551 156.056 2.02011 1
204.528 158.068 2.01894 1
206.548 158.074 0 1
204.531 156.047 4.03123 1
206.549 158.065 4.02998 1
208.57 156.064 0 1
210.591 156.065 2.02107 1
208.568 158.075 2.0194 1
210.587 158.082 0 1
208.573 156.052 4.0321 1
210.589 158.073 4.03064 1
212.609 156.074 0 1
214.63 156.077 2.02089 1
212.607 158.084 2.01959 1
214.626 158.09 0 1
212.612 156.062 4.03297 1
214.629 158.082 4.03102 1
216.651 156.083 0 1
216.645 158.094 2.02008 1
216.654 156.073 4.03321 1
220.676 156.106 0 1
218.667 156.089 2.02224 1
218.66 158.106 0 1
220.682 158.105 2.02176 1
220.692 156.084 4.03507 1
218.667 158.092 4.03215 1
222.707 156.096 2.02737 1
222.696 158.112 0 1
224.714 158.115 2.023 1
222.704 158.098 4.03423 1
226.732 158.114 0 1
226.737 158.1 4.03797 1
170.203 160.135 2.02407 1
168.184 162.143 2.02336 1
170.214 162.156 0 1
170.196 162.137 4.03308 1
172.234 160.146 0 1
174.244 160.136 2.02277 1
172.223 162.147 2.02173 1
174.247 162.149 0 1
172.217 160.128 4.03464 1
174.236 162.137 4.03228 1
176.268 160.136 0 1
178.28 160.122 2.0202 1
176.262 162.141 2.02051 1
178.283 162.139 0 1
176.257 160.122 4.0326 1
178.276 162.13 4.03035 1
180.297 160.117 0 1
182.315 160.109 2.01925 1
180.298 162.13 2.01901 1
182.317 162.126 0 1
180.294 160.109 4.03063 1
182.314 162.119 4.02904 1
184.334 160.106 0 1
186.352 160.098 2.01902 1
184.335 162.119 2.01837 1
186.354 162.116 0 1
184.331 160.097 4.02988 1
186.351 162.11 4.02836 1
188.371 160.096 0 1
190.39 160.09 2.01856 1
188.372 162.11 2.01805 1
190.391 162.109 0 1
188.369 160.088 4.02931 1
190.39 162.103 4.02782 1
192.409 160.089 0 1
194.429 160.084 2.01826 1
192.41 162.104 2.01771 1
194.429 162.103 0 1
192.408 160.082 4.02878 1
194.428 162.098 4.02741 1
196.449 160.085 0 1
198.468 160.082 2.01808 1
196.449 162.1 2.01752 1
198.468 162.101 0 1
196.448 160.078 4.02837 1
198.468 162.096 4.0272 1
200.488 160.084 0 1
202.507 160.083 2.0181 1
200.487 162.1 2.01748 1
202.507 162.102 0 1
200.488 160.078 4.02825 1
202.507 162.097 4.02724 1
204.527 160.087 0 1
206.547 160.087 2.01833 1
204.526 162.102 2.01758 1
206.545 162.106 0 1
204.528 160.08 4.02844 1
206.546 162.101 4.02749 1
208.565 160.092 0 1
210.585 160.094 2.01857 1
208.565 162.107 2.01775 1
210.583 162.112 0 1
208.567 160.086 4.02886 1
210.585 162.107 4.02789 1
212.604 160.1 0 1
214.623 160.103 2.01892 1
212.603 162.115 2.01804 1
214.621 162.121 0 1
212.606 160.093 4.02932 1
214.623 162.114 4.02848 1
216.64 160.111 0 1
216.64 162.123 2.01859 1
216.645 160.102 4.03007 1
220.678 160.12 0 1
218.661 160.113 2.01982 1
218.658 162.129 0 1
220.677 162.131 2.01909 1
220.683 160.11 4.03134 1
218.661 162.122 4.02942 1
224.713 160.126 0 1
222.696 160.121 2.02036 1
222.694 162.137 0 1
224.71 162.139 2.02048 1
224.718 160.116 4.03332 1
222.698 162.129 4.03077 1
228.726 160.15 0 1
226.724 160.13 2.02294 1
226.72 162.151 0 1
228.741 162.148 2.023 1
228.746 160.126 4.03589 1
226.731 162.136 4.03311 1
230.748 162.158 0 1
230.766 162.14 4.03508 1
166.168 164.154 2.02316 1
164.154 166.168 2.02316 1
166.18 166.18 0 1
166.162 166.162 4.0324 1
168.196 164.167 0 1
170.203 164.158 2.02144 1
168.186 166.171 2.02135 1
170.207 166.175 0 1
168.177 164.148 4.03254 1
170.196 166.164 4.03128 1
172.226 164.162 0 1
174.241 164.156 2.02007 1
172.221 166.171 2.01985 1
174.242 166.172 0 1
172.215 164.15 4.03161 1
