ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
25304
ITEM: BOX BOUNDS ff ff ff
0.0000000000000000e+00 4.0000000000000000e+02
0.0000000000000000e+00 4.0000000000000000e+02
0.0000000000000000e+00 8.0000000000000000e+02
ITEM: ATOMS x y z type
184.302 148.167 0 1
186.308 148.053 2.01813 1
184.243 148.072 3.99606 1
188.352 148.067 0 1
190.355 148.018 2.02562 1
188.345 147.959 4.01876 1
190.363 149.998 4.03695 1
192.36 146.078 2.02998 1
194.399 146.112 0 1
194.386 146.01 4.01577 1
192.375 148.076 0 1
194.43 148.064 2.03646 1
192.39 148.041 4.03153 1
196.423 146.017 2.00867 1
198.458 146.079 0 1
198.458 145.972 4.0085 1
196.443 148.063 0 1
198.465 148.03 2.03606 1
196.442 147.998 4.03166 1
198.47 149.997 4.03887 1
200.492 146.007 2.0054 1
202.526 146.08 0 1
202.527 145.973 4.00858 1
200.492 148.05 0 1
202.518 148.031 2.03611 1
200.492 147.986 4.03081 1
202.513 149.997 4.03894 1
204.562 146.019 2.00874 1
206.587 146.115 0 1
206.599 146.013 4.01602 1
204.541 148.065 0 1
206.554 148.067 2.03664 1
204.543 148 4.03182 1
208.626 146.083 2.03006 1
208.609 148.08 0 1
210.631 148.023 2.02602 1
208.595 148.045 4.03191 1
212.635 148.075 0 1
214.682 148.065 2.01922 1
212.643 147.967 4.01995 1
216.689 148.186 0 1
216.752 148.093 3.99777 1
170.214 154.098 4.00564 1
174.217 152.121 2.03321 1
172.226 154.114 2.04201 1
174.208 154.139 0 1
174.225 154.113 4.03537 1
178.241 150.195 0 1
178.183 150.105 3.99622 1
176.222 152.152 0 1
178.251 152.119 2.02673 1
176.26 154.118 2.03467 1
178.27 154.109 0 1
176.207 152.068 4.02478 1
178.262 154.082 4.03477 1
180.259 150.057 2.01603 1
182.265 150.1 0 1
182.255 150.013 4.01788 1
180.292 152.127 0 1
182.292 152.066 2.03453 1
180.285 154.082 2.02716 1
180.276 152.067 4.02909 1
184.305 150.09 2.02658 1
186.36 150.093 0 1
186.343 150.033 4.03023 1
184.318 152.066 0 1
186.337 152.05 2.02824 1
184.309 152.043 4.03522 1
188.35 150.048 2.03799 1
190.369 150.053 0 1
192.392 150.043 2.02741 1
194.415 150.035 0 1
194.418 150.013 4.03849 1
196.448 150.029 2.02861 1
198.47 150.03 0 1
200.491 150.017 2.02864 1
202.512 150.03 0 1
204.534 150.03 2.0287 1
206.568 150.037 0 1
206.564 150.015 4.03873 1
208.591 150.046 2.02761 1
210.614 150.058 0 1
210.621 150.002 4.03752 1
212.633 150.054 2.03842 1
214.624 150.104 0 1
214.641 150.043 4.03141 1
214.641 152.061 2.02879 1
216.655 152.083 0 1
216.666 152.06 4.03596 1
216.681 150.107 2.0284 1
218.712 150.134 0 1
220.721 150.1 2.03161 1
218.729 150.049 4.02398 1
220.727 152.114 0 1
218.673 152.096 2.03537 1
220.693 154.095 2.02626 1
220.718 152.085 4.03411 1
224.708 152.173 0 1
222.734 152.078 2.03648 1
222.689 154.131 0 1
224.736 154.12 2.029 1
224.772 152.085 4.00684 1
222.706 154.075 4.0352 1
226.746 154.139 0 1
228.758 154.124 2.0335 1
226.767 154.059 4.02743 1
166.219 158.155 0 1
166.15 158.088 3.99768 1
170.294 154.171 0 1
168.245 156.146 0 1
170.213 156.147 2.03051 1
168.192 158.128 2.02781 1
170.229 158.158 0 1
168.175 156.08 3.99973 1
170.207 158.127 4.03323 1
172.253 156.169 0 1
174.246 156.128 2.02686 1
172.226 158.129 2.028 1
172.231 156.114 4.0368 1
176.251 156.105 0 1
176.248 156.092 4.0374 1
224.714 156.116 0 1
224.724 156.09 4.0363 1
228.765 156.138 0 1
226.72 156.12 2.03476 1
228.735 158.134 2.02668 1
228.754 156.115 4.03588 1
232.689 156.181 0 1
230.752 156.118 2.04069 1
230.724 158.173 0 1
232.767 158.157 2.0303 1
232.766 156.108 4.00553 1
230.748 158.12 4.03671 1
234.737 158.158 0 1
234.805 158.092 4.00002 1
162.182 162.182 0 1
162.114 162.114 3.99659 1
164.199 160.167 0 1
166.176 160.133 2.02683 1
164.16 162.145 2.02656 1
166.195 162.169 0 1
164.131 160.1 3.99681 1
166.167 162.139 4.03089 1
168.211 160.161 0 1
168.184 160.13 4.03159 1
232.749 160.167 0 1
230.755 160.138 2.02777 1
232.777 162.147 2.02417 1
232.773 160.138 4.03357 1
236.762 160.17 0 1
234.788 160.14 2.02791 1
234.767 162.173 0 1
236.803 162.148 2.02725 1
236.83 160.102 3.9985 1
234.794 162.143 4.03236 1
238.78 162.187 0 1
238.847 162.118 3.99867 1
158.155 166.219 0 1
158.088 166.15 3.99768 1
160.167 164.199 0 1
162.145 164.16 2.02656 1
160.133 166.176 2.02683 1
162.169 166.195 0 1
160.1 164.131 3.99681 1
162.139 166.167 4.03089 1
164.181 164.181 0 1
164.152 164.152 4.03071 1
236.78 164.184 0 1
234.794 164.157 2.02372 1
236.807 166.173 2.0241 1
236.808 164.155 4.03244 1
240.793 164.209 0 1
238.812 164.16 2.02796 1
238.789 166.201 0 1
240.798 166.179 2.03089 1
240.859 164.14 4.00092 1
238.816 166.175 4.03399 1
242.773 166.254 0 1
242.845 166.176 4.00831 1
154.098 170.214 4.00564 1
154.171 170.294 0 1
156.146 168.245 0 1
158.128 168.192 2.02781 1
156.147 170.213 2.03051 1
