ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
116135
ITEM: BOX BOUNDS ff ff ff
0.0000000000000000e+00 4.0000000000000000e+02
0.0000000000000000e+00 4.0000000000000000e+02
0.0000000000000000e+00 8.0000000000000000e+02
ITEM: ATOMS x y z type
194.652 150.542 1.56303 1
197.81 150.55 1.55907 1
200.963 150.549 1.55902 1
204.121 150.54 1.56285 1
182.048 153.695 1.56429 1
185.198 153.691 1.55558 1
186.767 152.116 0 1
186.786 152.13 3.15472 1
188.35 153.685 1.55192 1
189.925 152.116 0 1
189.937 152.116 3.14319 1
191.503 153.678 1.54995 1
193.077 152.104 0 1
193.077 152.106 3.13807 1
194.653 153.675 1.54956 1
196.23 152.107 0 1
196.229 152.11 3.13643 1
197.808 153.676 1.54921 1
199.387 152.11 0 1
199.387 152.113 3.1357 1
200.965 153.676 1.54917 1
202.544 152.107 0 1
202.544 152.109 3.13628 1
204.12 153.673 1.54946 1
205.697 152.102 0 1
205.696 152.104 3.13769 1
207.271 153.675 1.54975 1
208.849 152.113 0 1
208.838 152.113 3.1423 1
210.424 153.681 1.55158 1
212.008 152.112 0 1
211.991 152.124 3.15278 1
213.576 153.685 1.55487 1
216.725 153.691 1.56201 1
175.747 156.845 1.5662 1
178.893 156.831 1.55312 1
180.46 155.251 0 1
180.472 155.262 3.14575 1
182.04 156.825 1.54911 1
183.618 155.256 0 1
183.622 155.258 3.13573 1
185.194 156.824 1.54816 1
186.772 155.253 0 1
186.774 155.253 3.13119 1
188.348 156.821 1.54729 1
189.926 155.25 0 1
189.927 155.247 3.12847 1
191.502 156.818 1.54663 1
193.078 155.246 0 1
193.078 155.243 3.12715 1
194.655 156.816 1.54621 1
196.231 155.245 0 1
196.231 155.243 3.12645 1
197.809 156.815 1.54602 1
199.387 155.245 0 1
199.387 155.243 3.1262 1
200.965 156.815 1.54598 1
202.542 155.244 0 1
202.543 155.242 3.12634 1
204.119 156.815 1.54612 1
205.695 155.244 0 1
205.696 155.242 3.1269 1
207.272 156.816 1.54648 1
208.848 155.248 0 1
208.848 155.244 3.12803 1
210.425 156.819 1.54711 1
212.001 155.25 0 1
212 155.249 3.13049 1
213.578 156.822 1.54795 1
215.154 155.253 0 1
215.151 155.255 3.13444 1
216.729 156.826 1.54865 1
218.305 155.258 0 1
218.295 155.266 3.1421 1
219.88 156.833 1.55054 1
221.458 155.265 0 1
221.437 155.289 3.15864 1
223.033 156.837 1.56034 1
172.585 159.976 1.55747 1
174.152 158.397 0 1
174.17 158.416 3.15093 1
175.734 159.973 1.54857 1
177.312 158.403 0 1
177.317 158.405 3.13523 1
178.887 159.971 1.54733 1
180.464 158.397 0 1
180.465 158.397 3.12875 1
182.039 159.968 1.54609 1
183.616 158.395 0 1
183.616 158.393 3.12586 1
185.192 159.966 1.54545 1
186.77 158.394 0 1
186.77 158.391 3.12453 1
188.346 159.964 1.54491 1
189.924 158.392 0 1
189.924 158.389 3.12348 1
191.5 159.962 1.54446 1
193.078 158.389 0 1
193.078 158.387 3.12278 1
194.655 159.961 1.54415 1
196.232 158.388 0 1
196.232 158.385 3.12232 1
197.809 159.96 1.54399 1
199.387 158.387 0 1
199.387 158.385 3.12213 1
200.964 159.959 1.54397 1
202.542 158.387 0 1
202.542 158.384 3.12223 1
204.119 159.96 1.54408 1
205.696 158.388 0 1
205.696 158.385 3.1226 1
207.273 159.961 1.54435 1
208.849 158.39 0 1
208.85 158.387 3.12322 1
210.427 159.963 1.54477 1
212.003 158.392 0 1
212.003 158.389 3.12422 1
213.58 159.965 1.54529 1
215.155 158.395 0 1
215.156 158.393 3.12548 1
216.734 159.968 1.54592 1
218.308 158.399 0 1
218.307 158.398 3.12754 1
219.887 159.971 1.5469 1
221.462 158.401 0 1
221.46 158.402 3.13223 1
223.039 159.972 1.54829 1
224.618 158.397 0 1
224.606 158.405 3.14346 1
226.183 159.98 1.55266 1
229.322 159.998 1.56591 1
169.442 163.136 1.55109 1
171.012 161.552 0 1
171.022 161.558 3.13987 1
172.585 163.124 1.54772 1
174.157 161.545 0 1
174.159 161.546 3.12994 1
175.732 163.118 1.54613 1
177.309 161.545 0 1
177.308 161.543 3.12537 1
178.884 163.116 1.54511 1
180.461 161.542 0 1
180.461 161.54 3.1235 1
182.036 163.114 1.54429 1
183.614 161.54 0 1
183.613 161.538 3.12209 1
185.19 163.112 1.54369 1
186.768 161.538 0 1
186.767 161.536 3.12117 1
188.344 163.111 1.54324 1
189.922 161.537 0 1
189.922 161.534 3.12048 1
191.499 163.109 1.54289 1
193.077 161.535 0 1
193.077 161.533 3.11998 1
194.654 163.108 1.54264 1
196.232 161.534 0 1
196.232 161.532 3.11965 1
197.809 163.107 1.54251 1
199.387 161.534 0 1
199.387 161.531 3.11951 1
200.965 163.107 1.5425 1
202.542 161.534 0 1
202.542 161.531 3.11958 1
204.12 163.108 1.54259 1
205.697 161.534 0 1
205.697 161.532 3.11985 1
207.274 163.108 1.5428 1
208.851 161.536 0 1
208.851 161.533 3.12031 1
210.429 163.11 1.54312 1
212.005 161.537 0 1
212.005 161.535 3.12097 1
213.583 163.112 1.54356 1
215.159 161.54 0 1
215.159 161.537 3.12184 1
216.737 163.114 1.54413 1
218.312 161.542 0 1
218.313 161.54 3.12301 1
219.89 163.116 1.54488 1
221.465 161.544 0 1
221.466 161.542 3.12472 1
223.042 163.119 1.54581 1
224.614 161.548 0 1
224.613 161.547 3.12817 1
226.19 163.124 1.54746 1
227.762 161.556 0 1
227.757 161.559 3.13544 1
