ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
26431
ITEM: BOX BOUNDS ff ff ff
0.0000000000000000e+00 4.0000000000000000e+02
0.0000000000000000e+00 4.0000000000000000e+02
0.0000000000000000e+00 8.0000000000000000e+02
ITEM: ATOMS x y z type
185.243 147.6 1.58703 1
188.339 147.53 1.58026 1
191.481 147.47 1.6102 1
193.215 146.157 0 1
193.115 145.93 3.12426 1
194.68 147.543 1.66254 1
196.249 146.163 0 1
196.235 145.879 3.1253 1
197.816 147.511 1.65825 1
199.386 146.15 0 1
199.386 145.868 3.12888 1
200.956 147.511 1.65822 1
202.523 146.162 0 1
202.537 145.878 3.12523 1
204.092 147.542 1.66244 1
205.556 146.155 0 1
205.657 145.928 3.12417 1
207.292 147.468 1.61012 1
210.434 147.526 1.58046 1
213.534 147.595 1.58763 1
178.916 150.658 1.62705 1
180.605 149.297 0 1
180.531 149.073 3.12955 1
182.091 150.672 1.65035 1
183.645 149.192 0 1
183.61 149.034 3.15267 1
185.207 150.588 1.62419 1
186.786 149.144 0 1
186.791 149.034 3.16759 1
188.368 150.576 1.58745 1
189.933 149.056 0 1
189.927 148.986 3.16138 1
191.512 150.542 1.56812 1
193.077 148.969 0 1
193.043 148.971 3.17176 1
196.235 148.982 0 1
196.242 149.022 3.1889 1
199.386 148.98 0 1
199.386 149.014 3.18587 1
202.537 148.982 0 1
202.53 149.021 3.18877 1
205.696 148.967 0 1
205.73 148.969 3.17145 1
207.262 150.539 1.56759 1
208.841 149.052 0 1
208.846 148.983 3.1608 1
210.407 150.572 1.58612 1
211.989 149.137 0 1
211.984 149.03 3.16666 1
213.57 150.58 1.62109 1
215.137 149.183 0 1
215.168 149.028 3.15311 1
216.696 150.656 1.64254 1
218.224 149.313 0 1
218.271 149.082 3.12694 1
219.898 150.648 1.63202 1
222.916 150.701 1.61201 1
172.629 153.8 1.63437 1
174.292 152.438 0 1
174.24 152.207 3.13057 1
175.798 153.799 1.64332 1
177.341 152.264 0 1
177.307 152.156 3.15951 1
