ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
354
ITEM: BOX BOUNDS ff ff ff
0.0000000000000000e+00 4.0000000000000000e+02
0.0000000000000000e+00 4.0000000000000000e+02
0.0000000000000000e+00 8.0000000000000000e+02
ITEM: ATOMS x y z type
188.464 92.7161 3.17472e-15 1
196.665 92.4395 8.37531e-16 1
199.025 91.0959 5.97847e-15 1
205.559 92.7268 3.64127e-15 1
181.672 94.3125 5.51191e-15 1
188.27 95.446 3.17472e-15 1
190.869 94.2267 1.58293e-15 1
194.113 94.1499 8.37531e-16 1
199.067 93.925 5.97847e-15 1
205.658 95.4933 3.64127e-15 1
213.407 94.5896 1.30408e-15 1
216.178 94.5944 6.44502e-15 1
223.457 95.8548 4.10783e-15 1
165.831 98.5045 5.04536e-15 1
172.748 97.2835 5.27864e-15 1
181.588 97.0847 5.51191e-15 1
188.096 98.5293 3.17472e-15 1
190.416 97.0615 1.58293e-15 1
194.911 96.9688 8.37531e-16 1
199.417 97.003 5.97847e-15 1
206.04 98.5277 3.64127e-15 1
212.183 97.061 1.30408e-15 1
217.393 97.0587 6.44502e-15 1
223.924 98.6047 4.10783e-15 1
230.727 97.2285 1.77063e-15 1
233.16 98.3824 6.91157e-15 1
163.845 100.51 5.04536e-15 1
172.219 100.143 5.27864e-15 1
181.205 100.099 5.51191e-15 1
190.314 100.101 1.58293e-15 1
194.931 100.071 8.37531e-16 1
199.43 100.089 5.97847e-15 1
212.327 100.059 1.30408e-15 1
217.284 100.052 6.44502e-15 1
223.941 101.668 4.10783e-15 1
231.175 100.261 1.77063e-15 1
234.123 100.838 6.91157e-15 1
236.869 101.819 6.16617e-15 1
154.892 103.529 6.49824e-16 1
163.335 103.319 5.04536e-15 1
163.31 106.412 5.04536e-15 1
172.244 103.257 5.27864e-15 1
230.748 103.257 1.77063e-15 1
234.685 103.476 6.91157e-15 1
234.748 106.429 6.91157e-15 1
236.988 104.909 6.16617e-15 1
239.198 103.385 4.57438e-15 1
239.286 106.383 4.57438e-15 1
247.678 103.866 2.23719e-15 1
146.203 107.128 4.16548e-16 1
154.415 106.456 6.49824e-16 1
154.392 109.562 6.49824e-16 1
237.079 107.952 6.16617e-15 1
239.332 109.494 4.57438e-15 1
248.436 106.488 2.23719e-15 1
248.413 109.535 2.23719e-15 1
139.005 111.516 2.75374e-15 1
145.432 109.734 4.16548e-16 1
145.477 112.707 4.16548e-16 1
248.403 112.658 2.23719e-15 1
254.969 111.29 6.63272e-15 1
257.278 109.796 5.04093e-15 1
257.23 112.75 5.04093e-15 1
259.523 111.352 1.17737e-14 1
136.759 113.087 1.83273e-16 1
136.773 115.886 1.83273e-16 1
139.1 114.402 2.75374e-15 1
145.482 115.836 4.16548e-16 1
254.964 114.175 6.63272e-15 1
257.165 115.864 6.63272e-15 1
259.412 114.34 5.04093e-15 1
261.706 112.964 1.17737e-14 1
261.659 115.874 1.17737e-14 1
131.987 118.911 2.52046e-15 1
136.732 119.023 1.83273e-16 1
138.985 117.481 2.75374e-15 1
259.424 117.431 5.04093e-15 1
261.673 118.988 1.17737e-14 1
130.073 120.848 2.52046e-15 1
136.701 122.148 1.83273e-16 1
138.952 120.596 2.75374e-15 1
270.418 119.374 1.95834e-15 1
270.475 122.288 1.95834e-15 1
272.736 120.848 3.66545e-16 1
274.969 122.383 7.09928e-15 1
129.907 123.763 2.52046e-15 1
270.535 125.363 1.95834e-15 1
272.742 123.828 3.66545e-16 1
274.971 125.39 7.09928e-15 1
277.204 123.976 5.50748e-15 1
279.421 125.584 1.22402e-14 1
121.701 127.4 2.28719e-15 1
129.89 126.892 2.52046e-15 1
270.572 128.472 1.95834e-15 1
272.778 126.916 3.66545e-16 1
274.998 128.492 7.09928e-15 1
277.18 126.973 5.50748e-15 1
279.435 128.497 1.22402e-14 1
120.947 130.063 2.28719e-15 1
272.808 130.038 3.66545e-16 1
275.046 131.607 7.09928e-15 1
277.242 130.051 5.50748e-15 1
279.514 131.59 1.22402e-14 1
120.974 133.198 2.28719e-15 1
277.294 133.171 5.50748e-15 1
279.535 134.738 1.22402e-14 1
114.237 137.813 2.05391e-15 1
120.946 136.348 2.28719e-15 1
277.315 136.311 5.50748e-15 1
279.544 137.888 1.22402e-14 1
112.396 139.812 2.05391e-15 1
286.857 139.172 2.42489e-15 1
287.95 141.628 2.42489e-15 1
289.688 139.619 8.33097e-16 1
112.093 142.686 2.05391e-15 1
288.259 144.385 2.42489e-15 1
292.635 144.344 7.56583e-15 1
290.42 142.755 8.33097e-16 1
112.053 145.831 2.05391e-15 1
288.329 147.47 2.42489e-15 1
292.781 147.405 7.56583e-15 1
290.506 145.907 8.33097e-16 1
105.909 150.751 1.82064e-15 1
112.032 148.973 2.05391e-15 1
288.403 150.57 2.42489e-15 1
292.906 150.542 7.56583e-15 1
290.609 149.001 8.33097e-16 1
105.311 153.46 1.82064e-15 1
112.001 152.118 2.05391e-15 1
288.46 153.699 2.42489e-15 1
292.854 153.692 7.56583e-15 1
290.661 152.111 8.33097e-16 1
295.096 152.227 1.27068e-14 1
103.578 155.548 1.82064e-15 1
293.033 156.84 7.56583e-15 1
290.695 155.281 8.33097e-16 1
295.172 155.067 1.27068e-14 1
296.777 157.235 1.27068e-14 1
103.521 158.486 1.82064e-15 1
292.928 159.995 7.56583e-15 1
290.724 158.4 8.33097e-16 1
297.447 160.013 1.27068e-14 1
103.509 161.625 1.82064e-15 1
292.921 163.138 7.56583e-15 1
297.483 163.166 1.27068e-14 1
103.192 164.749 1.82064e-15 1
297.52 166.314 1.27068e-14 1
103.137 167.895 1.82064e-15 1
297.521 169.464 1.27068e-14 1
96.8979 172.88 1.58736e-15 1
103.116 171.039 1.82064e-15 1
103.107 174.186 1.82064e-15 1
297.538 172.614 1.27068e-14 1
96.6755 175.743 1.58736e-15 1
297.556 175.763 1.27068e-14 1
96.6926 178.795 1.58736e-15 1
303.615 177.588 2.89144e-15 1
303.685 180.533 2.89144e-15 1
95.7682 181.398 1.58736e-15 1
94.6187 183.864 1.58736e-15 1
304.076 183.418 2.89144e-15 1
94.7601 186.804 1.58736e-15 1
305.856 185.476 2.89144e-15 1
94.806 189.953 1.58736e-15 1
