ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
800
ITEM: BOX BOUNDS ff ff ff
0.0000000000000000e+00 4.0000000000000000e+02
0.0000000000000000e+00 4.0000000000000000e+02
0.0000000000000000e+00 8.0000000000000000e+02
ITEM: ATOMS x y z type
188.425 91.3915 0 1
194.507 91.1886 0 1
208.568 91.3039 0 1
170.294 95.058 0 1
174.167 93.8131 0 1
176.708 95.039 0 1
183.105 95.0167 0 1
180.542 93.7628 0 1
186.995 93.8206 0 1
184.472 92.5321 0 1
189.564 95.0094 0 1
191.003 92.5508 0 1
193.57 93.8269 0 1
199.276 93.7307 0 1
197.026 92.3055 0 1
196.273 94.9738 0 1
201.592 91.9574 0 1
203.645 93.9606 0 1
201.335 95.3779 0 1
207.463 95.0481 0 1
206.082 92.5846 0 1
209.993 93.7651 0 1
216.425 93.7636 0 1
213.891 94.9999 0 1
212.548 92.5016 0 1
220.318 95.0217 0 1
218.966 92.5374 0 1
222.855 93.7701 0 1
226.731 95.0374 0 1
158.706 98.8989 0 1
165.117 98.8425 0 1
166.427 96.3319 0 1
162.566 97.612 0 1
168.976 97.5661 0 1
172.833 96.3065 0 1
171.518 98.8085 0 1
177.934 98.8004 0 1
175.382 97.5373 0 1
181.791 97.5268 0 1
179.245 96.2771 0 1
185.652 96.2864 0 1
184.343 98.8058 0 1
190.796 98.8105 0 1
188.227 97.5361 0 1
194.685 97.4868 0 1
192.119 96.2647 0 1
199.995 98.9847 0 1
198.648 96.4775 0 1
197.135 98.9331 0 1
202.541 97.7947 0 1
206.296 98.9033 0 1
204.971 96.404 0 1
211.356 96.262 0 1
208.823 97.5669 0 1
215.227 97.5194 0 1
212.686 98.7979 0 1
219.094 98.7836 0 1
217.772 96.253 0 1
224.184 96.2737 0 1
221.645 97.5188 0 1
228.049 97.5448 0 1
225.505 98.78 0 1
231.91 98.8212 0 1
230.598 96.3114 0 1
234.459 97.5898 0 1
238.318 98.8717 0 1
149.735 103.967 0 1
153.559 102.713 0 1
154.861 100.211 0 1
157.418 101.418 0 1
156.113 103.928 0 1
161.261 100.125 0 1
159.966 102.641 0 1
166.367 102.613 0 1
162.521 103.895 0 1
163.811 101.354 0 1
167.665 100.075 0 1
170.218 101.341 0 1
168.924 103.882 0 1
174.075 100.07 0 1
172.775 102.61 0 1
176.631 101.339 0 1
180.489 100.065 0 1
183.042 101.343 0 1
186.905 100.074 0 1
193.378 100.081 0 1
203.757 100.242 0 1
210.152 100.101 0 1
216.545 100.059 0 1
220.404 101.323 0 1
222.956 100.049 0 1
224.258 102.589 0 1
228.109 103.859 0 1
226.81 101.316 0 1
229.363 100.053 0 1
230.664 102.59 0 1
233.219 101.331 0 1
235.767 100.101 0 1
234.516 103.869 0 1
237.073 102.613 0 1
240.923 103.898 0 1
239.622 101.385 0 1
